sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,image_label,small_image_label,thumbnail_label,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,enable_googlecheckout,tax_class_id,gift_message_available,aw_acp_disabled,size,brand,occasion,gs_delivery_returns,gs_size_guide,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
WK-Silk-Crepe-Shirt-S,,Default,simple,,,base,Winter Kate-Silk crepe shirt,"Beautiful use of fabrics and attention to detail make this midnight blue silk shirt a perfect wardrobe additon.  With black side chiffon inserts, back fastening styled with pewter colour buttons and an option for 3/4 length sleeves with button fastening.  Wear loose or tucked.  100% silk.  Dry Clean",Silk crepe shirt, 226.00 ,,,,,90,,,,,BLOUSE NAVY IMAGE.JPG,BLOUSE NAVY SMALL.JPG,BLOUSE NAVY THUMB.JPG,,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Blue,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Crepe-Shirt-M,,Default,simple,,,base,Winter Kate-Silk crepe shirt,"Beautiful use of fabrics and attention to detail make this midnight blue silk shirt a perfect wardrobe additon.  With black side chiffon inserts, back fastening styled with pewter colour buttons and an option for 3/4 length sleeves with button fastening.  Wear loose or tucked.  100% silk.  Dry Clean",Silk crepe shirt, 226.00 ,,,,,90,,,,,BLOUSE NAVY IMAGE.JPG,BLOUSE NAVY SMALL.JPG,BLOUSE NAVY THUMB.JPG,,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Blue,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Crepe-Shirt-L,,Default,simple,,,base,Winter Kate-Silk crepe shirt,"Beautiful use of fabrics and attention to detail make this midnight blue silk shirt a perfect wardrobe additon.  With black side chiffon inserts, back fastening styled with pewter colour buttons and an option for 3/4 length sleeves with button fastening.  Wear loose or tucked.  100% silk.  Dry Clean",Silk crepe shirt, 226.00 ,,,,,90,,,,,BLOUSE NAVY IMAGE.JPG,BLOUSE NAVY SMALL.JPG,BLOUSE NAVY THUMB.JPG,,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Blue,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Crepe-Shirt,,Default,configurable,Women/Tops,Default Category,base,Winter Kate-Silk crepe shirt,"Beautiful use of fabrics and attention to detail make this midnight blue silk shirt a perfect wardrobe additon.  With black side chiffon inserts, back fastening styled with pewter colour buttons and an option for 3/4 length sleeves with button fastening.  Wear loose or tucked.  100% silk.  Dry Clean",Silk crepe shirt, 226.00 ,,,,,0,,,,,BLOUSE NAVY IMAGE.JPG,BLOUSE NAVY SMALL.JPG,BLOUSE NAVY THUMB.JPG,,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,Winter Kate-Silk Shirt,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-BW-S,,Default,simple,,,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in black and white from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Navy and Gold.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,150,,,,,DRESS B&W HERRINGBONE IMAGE.JPG,DRESS B&W HERRINGBONE SMALL.JPG,DRESS B&W HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-BW-M,,Default,simple,,,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in black and white from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Navy and Gold.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,150,,,,,DRESS B&W HERRINGBONE IMAGE.JPG,DRESS B&W HERRINGBONE SMALL.JPG,DRESS B&W HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-BW-L,,Default,simple,,,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in black and white from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Navy and Gold.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,150,,,,,DRESS B&W HERRINGBONE IMAGE.JPG,DRESS B&W HERRINGBONE SMALL.JPG,DRESS B&W HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-BW,,Default,configurable,Women/Dresses,Default Category,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in black and white from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Navy and Gold.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,0,,,,,DRESS B&W HERRINGBONE IMAGE.JPG,DRESS B&W HERRINGBONE SMALL.JPG,DRESS B&W HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-NG-S,,Default,simple,,,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in navy and gold from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Black and White.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,150,,,,,DRESS N&G HERRINGBONE IMAGE.JPG,DRESS N&G HERRINGBONE SMALL.JPG,DRESS N&G HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Blue,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-NG-M,,Default,simple,,,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in navy and gold from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Black and White.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,150,,,,,DRESS N&G HERRINGBONE IMAGE.JPG,DRESS N&G HERRINGBONE SMALL.JPG,DRESS N&G HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Blue,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-NG-L,,Default,simple,,,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in navy and gold from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Black and White.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,150,,,,,DRESS N&G HERRINGBONE IMAGE.JPG,DRESS N&G HERRINGBONE SMALL.JPG,DRESS N&G HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Blue,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Print-Dress-NG,,Default,configurable,Women/Dresses,Default Category,base,Winter Kate - Silk print dress with keyhole back,"Chic and elegant, this stunning dress in navy and gold from Winter Kate is gorgeous. Keyhole back with button detail. Also available in Black and White.  100% silk lining 100% polyester.  Dry Clean",Silk print dress with keyhole back, 325.00 ,,,,,0,,,,,DRESS N&G HERRINGBONE IMAGE.JPG,DRESS N&G HERRINGBONE SMALL.JPG,DRESS N&G HERRINGBONE THUMB.JPG,,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,Winter Kate - Silk print dress with keyhole back,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Velvet-Trouser-S,,Default,simple,,,base,Winter Kate-Velvet trouser,"A great investment, velvet pants from Winter Kate.  A wonderful addition to the Autumn/Winter wardrobe.  Add the highest of heels and team with Winter Kate's fabulous cream embelished cuff shirt and go.  Concealed zip ankle detail.  Pockets and fastening at the waist with hidden zip. 79% viscose 21% silk. Hand Wash.",Velvet trouser, 253.00 ,,,,,250,,,,,PANTS VELVET BLK IMAGE.JPG,PANTS VELVET BLK SMALL.JPG,PANTS VELVET BLK THUMB.JPG,,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Velvet-Trouser-M,,Default,simple,,,base,Winter Kate-Velvet trouser,"A great investment, velvet pants from Winter Kate.  A wonderful addition to the Autumn/Winter wardrobe.  Add the highest of heels and team with Winter Kate's fabulous cream embelished cuff shirt and go.  Concealed zip ankle detail.  Pockets and fastening at the waist with hidden zip. 79% viscose 21% silk. Hand Wash.",Velvet trouser, 253.00 ,,,,,250,,,,,PANTS VELVET BLK IMAGE.JPG,PANTS VELVET BLK SMALL.JPG,PANTS VELVET BLK THUMB.JPG,,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Velvet-Trouser-L,,Default,simple,,,base,Winter Kate-Velvet trouser,"A great investment, velvet pants from Winter Kate.  A wonderful addition to the Autumn/Winter wardrobe.  Add the highest of heels and team with Winter Kate's fabulous cream embelished cuff shirt and go.  Concealed zip ankle detail.  Pockets and fastening at the waist with hidden zip. 79% viscose 21% silk. Hand Wash.",Velvet trouser, 253.00 ,,,,,250,,,,,PANTS VELVET BLK IMAGE.JPG,PANTS VELVET BLK SMALL.JPG,PANTS VELVET BLK THUMB.JPG,,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Black,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WK-Silk-Velvet-Trouser,,Default,configurable,Women/Trousers,Default Category,base,Winter Kate-Velvet trouser,"A great investment, velvet pants from Winter Kate.  A wonderful addition to the Autumn/Winter wardrobe.  Add the highest of heels and team with Winter Kate's fabulous cream embelished cuff shirt and go.  Concealed zip ankle detail.  Pockets and fastening at the waist with hidden zip. 79% viscose 21% silk. Hand Wash.",Velvet trouser, 253.00 ,,,,,0,,,,,PANTS VELVET BLK IMAGE.JPG,PANTS VELVET BLK SMALL.JPG,PANTS VELVET BLK THUMB.JPG,,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,Winter Kate- Velvet trouser,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
